organism	mlst_species	ncbi_species	min_length	max_length	max_contigs	coverage_base	coverage_compare	lack_of_reads_cov	not_enough_reads_cov	low_reads_cov	max_genuses	allowable_percent_unclassified	length_difference	contig_difference	additional_script	comment
default			1000000	15000000	1000	0	25	10	25	50	1	100	250000	1000		use these values if another isn't given
A. baumannii	abaumannii	Acinetobacter baumannii	3700000	4400000												
A. pitti		Acinetobacter pittii	3600000	4100000												
B. pertussis	bordetella	Bordetella pertussis	5500000	6000000												
C. difficile	cdifficile	Clostridium difficile	3900000	4500000												
C. diphtheriae		Corynebacterium diphtheriae														
C. farmeri		Citrobacter farmeri	4600000	5100000												
C. freundii	cfreundii	Citrobacter freundii	5050000	5600000												
C. jejuni	campylobacter	Campylobacter jejuni	1600000	1900000												
Cronobacter	cronobacter	Cronobacter	4200000	4600000												gonna need to define one species to check against
E. aerogenes		Enterobacter aerogenes	5000000	5500000												
E. cloacae	ecloacae	Enterobacter cloacae	4700000	5600000												
E. coli	ecoli	Escherichia coli	4500000	5800000												
E. faecalis	efaecalis	Enterococcus faecalis	2200000	2700000									300000			
E. faecium	efaecium	Enterococcus faecium	2500000	3200000												
E. gallinarum		Enterococcus gallinarum	2500000	3000000												
E. hormaechei		Enterobacter hormaechei	4700000	5200000												
Gr. A Streptococcus		group A streptococcus	1400000	1900000												is this proper?
H. influenzae	hinfluenzae	Haemophilus influenzae	1400000	1900000												
K. oxytoca	koxytoca	Klebsiella oxytoca	6300000	7300000												
K. pneumoniae	kpneumoniae	Klebsiella pneumoniae	5100000	6150000												
Listeria	lmonocytogenes	Listeria monocytogenes	2800000	3100000												
L. pnemonia		Legionella pnemonia	3200000	3700000												
L. pneumophila		Legionella pneumophila	3000000	3500000												
Meningococcus	neisseria	Neisseria meningitidis	2050000	2400000												
N. gonorrheae	neisseria	Neisseria gonorrhoeae	1800000	2300000												
P. aeruginosa	paeruginosa	Pseudomonas aeruginosa	6200000	7500000												
Plasmid		plasmid			5000	15										
P. putida		Pseudomonas putida	5700000	6600000												
R. planticola		Raoultella planticola	5200000	5700000												
S. agalactiae	sagalactiae	Streptococcus agalactiae	2000000	2300000												
Salmonella	senterica	Salmonella enterica	4500000	5300000											ls	
S. aureus	saureus	Staphylococcus aureus	2600000	2900000												
S. enteritidis		Salmonella enteritidis	4400000	4900000												
S. epidermidis	sepidermidis	Staphylococcus epidermidis	2100000	2600000												gonna need to define one species to check against
Shigella		Shigella	4400000	4900000												
S. lugdunensis	slugdunensis	Staphylococcus lugdunensis	2450000	2700000												
S. marcescens		Serratia marcescens														
S. mikawasima		Salmonella mikawasima														
S. pneumoniae	spneumoniae	Streptococcus pneumoniae	1800000	2300000												
S. pyogenes	spyogenes	Streptococcus pyogenes	1750000	1950000												
S. sonnei		Shigella sonnei	4400000	4900000												
Streptococcus equi subsp zooepidemicus	sbsec	Streptococcus equi	1700000	2200000												
S. typhimurium		Salmonella typhimurium	4400000	4900000												
Y. enterocolitica	yersinia	Yersinia enterocolitica	4300000	4800000												gonna need to define one species to check against
Yersinia	yersinia	Yersinia	4000000	4500000												
